Type,Variable,
Perfil,vehi2_2,
Perfil,vehi2_3,
Perfil,vehi2_4,
Perfil,vehi2_5,
Perfil,vehi2_6,
Perfil,vehi2_7,
Perfil,vehi2_8,
Perfil,vehi2_9,
Electrodomestico,eqh4_1,
Electrodomestico,eqh4_10,
Electrodomestico,eqh4_11,
Electrodomestico,eqh4_12,
Electrodomestico,eqh4_13,
Electrodomestico,eqh4_14,
Electrodomestico,eqh4_15,
Electrodomestico,eqh4_16,
Electrodomestico,eqh4_17,
Electrodomestico,eqh4_18,
Electrodomestico,eqh4_19,
Electrodomestico,eqh4_2,
Electrodomestico,eqh4_3,
Electrodomestico,eqh4_5,
Electrodomestico,eqh4_6,
Electrodomestico,eqh4_7,
Electrodomestico,eqh4_8,
Electrodomestico,eqh4_9,
Electrodomestico,eqh5_4,
Perfil,habito,
Perfil,consumo,
Gasto,pagotarj,
Gasto,embarazog,
Vivienda,estrato,
Gasto,adqui,
Perfil,disc_camin,
Perfil,disc_ver,
Perfil,disc_brazo,
Perfil,disc_apren,
Perfil,disc_oir,
Perfil,disc_vest,
Perfil,disc_habla,
Perfil,disc_acti,
Perfil,pop_insabi,
CH,M1,
CH,M2,
CH,M3,
CH,M4,
CH,M5,
CH,M6,
CH,H1,
CH,H2,
CH,H3,
CH,H4,
CH,H5,
CH,H6,
